Id,MovieName,MoviePoster,MovieRating,PGRating,MovieDuration,ReleaseDate,Director,Actor,Writer,MovieGenre,Story
187,Tin Cup (1996) ,"https://m.media-amazon.com/images/M/MV5BNDQxNzY1MzItZmU1Mi00MWI3LTk4ZjYtOTBlM2RmYTk1MTJjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR6,0,182,268_AL_.jpg",6.3,R,2h 15min," Juegos de pasión
      ",Ron Shelton,"Kevin Costner,Rene Russo,Don Johnson",John Norville," Comedy, Drama, Romance, Sport","    Roy 'Tin cup' McAvoy, a failed pro golfer who lives at the run-down driving range which he manages with his sidekick and caddy Romeo in the West Texas tin pot town of Salome, ends up signing over ownership to a madam of 'show girls' to pay off debts. His foxy novice golf pupil, female psychiatrist Dr. Molly Griswold, turns out to be the new girlfriend of McAvoy's sarcastic one-time college golf partner, slick PGA superstar David Simms, who drops by to play into Roy's fatal flaw: the inability to resist a dare, all too often causing him to lose against lesser players, in this case gambling away his car. Falling for Molly, Roy decides to become her patient; in order to earn her respect, he decides to try to qualify for the US Open, after starting off as Simm's caddy 'for the benefit of his experience'. His talent proves more then adequate, but over-confident negligence of risks, while pleasing the crowds, is murder on his scores, while Simms spits on the fans but never wastes a point..."
188,Secrets & Lies (1996) ,"https://m.media-amazon.com/images/M/MV5BY2QzMTIxNjItNGQyNy00MjQzLWJiYTItMzIyZjdkYjYyYjRlXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",8,R,2h 16min," Secretos y mentiras
      ",Mike Leigh,"Timothy Spall,Brenda Blethyn,Phyllis Logan",, Drama,"    Cynthia lives in London with her sullen street-sweeper daughter. Her brother has been successful with his photographer's business and now lives nearby in a more upmarket house. But Cynthia hasn't even been invited round there after a year. So, all round, she feels rather lonely and isolated. Meanwhile, in another part of town, Hortense, adopted at birth but now grown up, starts to try and trace her mother."
189,The English Patient (1996) ,"https://m.media-amazon.com/images/M/MV5BOTkxZTdkNTQtM2QwOS00NzRlLWEyMGItYTcxOTE4NTgyNGVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.4,R,2h 42min," 6 December 1996 (USA)
    ",Anthony Minghella,"Ralph Fiennes,Juliette Binoche,Willem Dafoe",Michael Ondaatje," Drama, Romance, War","    October 1944 in war torn Italy. Hana, a French-Canadian nurse working in a mobile army medical unit, feels like everything she loves in life dies on her. Because of the difficulty traveling and the dangers, especially as the landscape is still heavily booby-trapped with mines, Hana volunteers to stay behind at a church to care solely for a dying semi-amnesiac patient, who is badly burned and disfigured. She agrees to catch up to the rest of the unit after he dies. All the patient remembers is that he is English and that he is married. Their solitude is disrupted with the arrival at the church of fellow Canadian David Caravaggio, part of the Intelligence Service, who is certain that he knows the patient as a man who cooperated with the Germans. Caravaggio believes that the patient's memory is largely in tact and that he is running away from his past, in part or in its entirety. The patient does open up about his past, all surrounding his work as a cartographer in North Africa, which ..."
190,Marvin's Room (1996) ,"https://m.media-amazon.com/images/M/MV5BOTk0ZDk3YWItZDZlOC00Y2FiLTgxNzYtODZmYzdkYWVmNmRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.7,PG-13,1h 38min," 28 February 1997 (USA)
    ",Jerry Zaks,"Meryl Streep,Leonardo DiCaprio,Diane Keaton",Scott McPherson, Drama,"    Estranged since their father's first stroke some 17 years earlier, Lee and Bessie lead separate lives in separate states. Lee's son, Hank, finds himself committed to a mental institution after setting fire to his mother's house. His younger brother, Charlie, seems unfazed by his brother's eccentricities or his mother's seeming disinterest. When Lee comes to the asylum to spring Hank for a week in Florida so that he can be tested as a possible bone marrow donor for Bessie, Hank is incredulous. ""I didn't even know you had a sister,"" he says. ""Remember, every Christmas, when I used to say 'Well, looks like Aunt Bessie didn't send us a card again this year?'"" ""Oh yeah,"" Hank says. Meanwhile, Marvin, the two women's bedridden father, has ""been dying for the past twenty years."" ""He's doing it real slow so I don't miss anything,"" Bessie tells Dr. Wally. In Bessie's regular doctor's absence, it has fallen to Dr. Wally to inform Bessie that she has leukemia and will die without a bone marrow ..."
191,Scream (1996) ,"https://m.media-amazon.com/images/M/MV5BMjA2NjU5MTg5OF5BMl5BanBnXkFtZTgwOTkyMzQxMDE@._V1_UX182_CR0,0,182,268_AL_.jpg",7.2,R,1h 51min," 20 December 1996 (USA)
    ",Wes Craven,"Neve Campbell,Courteney Cox,David Arquette",," Horror, Mystery","    A year after her mother's death, Sydney Prescott (Neve Campbell), and her friends started experiencing some strange phone calls. They later learned the calls were coming from a crazed serial killer, in a white faced mask and a large black robe, looking for revenge. His phone calls usually consist of many questions, the main one being: Whats your favorite scary movie? Along with many scary movie trivia, ending with bloody pieces of innocent lives scattered around the small town of Woodsboro."
192,Evita (1996) ,"https://m.media-amazon.com/images/M/MV5BMDNhZGZiMzYtNzkxNy00MGE0LWE4Y2QtOGIwOTM3ZmY5M2QwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.3,PG,2h 15min," Ebîta
      ",Alan Parker,"Madonna,Jonathan Pryce,Antonio Banderas","Tim Rice,Alan Parker"," Biography, Drama, History, Musical","    High-flying, adored! The film adaptation of the hit Broadway musical depicting the infamous real-life story of Eva ""Evita"" Duarte de Peron, the wife of President Juan Peron, who rose from poverty to become the most famous Argentine woman in history. Her huge political influence and constant charity works earned her scorn and fear from the military and upper classes but adoration and love from the workers and descamisados. Evita's legendary life is displayed before your eyes as the most hated and most beloved woman in Argentina."
193,Fierce Creatures (1997) ,"https://m.media-amazon.com/images/M/MV5BNzllMGM5ZjItZTlmZi00OGU5LTlmZWQtZWVkNDM2MjEzMzZhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.4,PG-13,1h 33min," 24 January 1997 (USA)
    ","Fred Schepisi,Robert Young","John Cleese,Jamie Lee Curtis,Kevin Kline","John Cleese,Iain Johnstone", Comedy,"    A massive corporate conglomerate, Octopus Inc., run by a shrewd and cruel tycoon named Rod McCain, purchases a UK-based leisure company, and also the failing London Marwood Zoo. To bring more business to the zoo, Octopus hires a new manager, Rollo Lee, who promptly comes up with a way to increase profits-do away with all the animals except for the ferocious ones. This new Fierce Creatures Policy shocks the Marwood zookeepers, led by the unendingly talkative Adrian ""Bugsy"" Malone. Eventually, Rod McCain's son Vince, along with the up-and-coming business executive Willa Weston, take control of the zoo and revoke the Fierce Creatures Policy. Vince instead comes up with many under-handed and vicious schemes to attract customers-unauthorized celebrity endorsements, shoddy, overpriced zoo merchandise, and using robotic animals instead of real ones. However, Vince is also stealing from the zoo's funds, and when his father finds out, he rears to turn the zoo into a Japanese-owned golf course...."
194,Absolute Power (1997) ,"https://m.media-amazon.com/images/M/MV5BNDFlNTZmOGYtYmE0ZC00OTE4LWI5YzctNmZmZDU3M2ZiMmI4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY268_CR0,0,182,268_AL_.jpg",6.7,R,2h 1min," 14 February 1997 (USA)
    ",Clint Eastwood,"Clint Eastwood,Gene Hackman,Ed Harris",David Baldacci," Action, Crime, Drama, Thriller","    Luther Whitney (Clint Eastwood) is a master jewel thief. While robbing the safe of a house, he witnesses the murder of Christy Sullivan (Melora Hardin) by Secret Service Agents Bill Burton (Scott Glenn) and Tim Collin (Dennis Haysbert), and the President of the United States, Alan Richmond (Gene Hackman). Now he is targeted for death by the young woman's husband, Walter Sullivan (E.G. Marshall), the Secret Service, and the President."
195,Rosewood (1997) ,"https://m.media-amazon.com/images/M/MV5BYWNmZGM3NjUtOTgzYi00YjVmLTk4NGYtNGQ1Y2MwZjBkN2I3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.2,R,2h 20min," 21 February 1997 (USA)
    ",John Singleton,"Jon Voight,Ving Rhames,Don Cheadle",," Action, Drama, History","    Ving Rhames stars as Mann, a drifter caught in Rosewood, a town filled with racial prejudice. He ends up aiding the surviving African-Americans escape the town, with the help of a humble store owner played by Jon Voight."
196,Donnie Brasco (1997) ,"https://m.media-amazon.com/images/M/MV5BYzMzMDZkYWEtODIzNS00YjI3LTkxNTktOWEyZGM3ZWI2MWM4XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",7.7,R,2h 7min," Brasco
      ",Mike Newell,"Al Pacino,Johnny Depp,Michael Madsen","Joseph D. Pistone,Richard Woodley"," Biography, Crime, Drama","    This true story follows FBI agent Joe Pistone as he infiltrates the mafia of New York. Befriending Lefty Ruggiero, Pistone (under the name Donnie Brasco) is able to embed himself in a mafia faction led by Sonny Black. Ruggiero and Pistone become tight as the group goes about collecting money for 'the bosses'. Eventually, the group become big-time when Black himself becomes a boss; all the while, Pistone collects evidence. However, the trials and tribulations of the undercover work become more than Pistone can bear. His marriage falls apart, and to top it off, the mafia suspect a mole in the organization. The real dilemma is afforded to Pistone, who knows if he walks away from the mafia, Ruggiero will be the one punished."
197,Liar Liar (1997) ,"https://m.media-amazon.com/images/M/MV5BYjZlYmJjYWYtZDM0NS00YmZlLWIyMTAtMDY5ZTNjZTgwMDhjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.9,PG-13,1h 26min," 21 March 1997 (USA)
    ",Tom Shadyac,"Jim Carrey,Maura Tierney,Amanda Donohoe",Paul Guay," Comedy, Fantasy","    Fletcher Reede, a fast talking attorney, habitual liar, and divorced father is an incredibly successful lawyer who has built his career by lying. He has a habit of giving precedence to his job and always breaking promises to be with his young son Max, but Fletcher lets Max down once too often, for missing his own son's birthday party. But until then at 8:15 Max has decided to make an honest man out of him as he wishes for one whole day his dad couldn't tell a lie. When the wish comes true all Fletcher can do is tell the truth and cannot tell one lie. Uh-oh for Fletcher!"
198,Breakdown (1997) ,"https://m.media-amazon.com/images/M/MV5BNjQ5MThkYzMtOTAyMC00YWIxLTg1MWEtMGRiZmFiYWJjNTUyXkEyXkFqcGdeQXVyMDEwMjgxNg@@._V1_UY268_CR1,0,182,268_AL_.jpg",6.9,R,1h 33min," A félelem országútján
      ",Jonathan Mostow,"Kurt Russell,J.T. Walsh,Kathleen Quinlan","Jonathan Mostow,Jonathan Mostow"," Crime, Drama, Mystery, Thriller","    Jeff and Amy Taylor are moving to California and must drive across the country. When they find themselves stranded in the middle of a desert with hardly anyone or anything around, their trip comes to a sudden halt. Amy had taken a ride with a friendly trucker to a small diner to call for help, but after a long time, Jeff becomes worried. He finds that no one in the diner has seen or heard from his wife. When he finds the trucker who gave Amy the ride, the trucker swears he has never seen her. Now Jeff must attempt to find his wife, who has been kidnapped and is being held for ransom. But who can he trust?"
199,Ulee's Gold (1997) ,"https://m.media-amazon.com/images/M/MV5BMjE4NjY3NzA0OF5BMl5BanBnXkFtZTcwMDQ3Mjg3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",7,R,1h 53min," El oro de Ulises
      ",Victor Nunez,"Peter Fonda,Patricia Richardson,Christine Dunford",, Drama,"    Ulee is called one day by his incarcerated son, Jimmy, asking for a favor. Jimmy will repay his debts if they save his wife, Helen, from hoodlums. Ulee must now risk his and his family's lives to save Helen."
200,Face/Off (1997) ,"https://m.media-amazon.com/images/M/MV5BYzFjNzIxMmEtMzY5NS00YTgzLTkwYWEtN2FjMmY0NmNkZWY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3,R,2h 18min," Contracara
      ",John Woo,"John Travolta,Nicolas Cage,Joan Allen",Mike Werb," Action, Crime, Sci-Fi, Thriller","    Sean Archer, a very tough, rugged FBI Agent, is still grieving for his dead son Michael. Archer believes that his son's killer is his sworn enemy and a very powerful criminal, Castor Troy. One day, Archer has finally cornered Castor, however, their fight has knocked out Troy cold. As Archer finally breathes easy over the capture of his enemy, he finds out that Troy has planted a bomb that will destroy the entire city of Los Angeles and all of its inhabitants. Unfortunately the only other person who knows its location is Castor's brother Pollux, and he refuses to talk. The solution, a special operation doctor that can cut off people's faces, and can place a person's face onto another person. Archer undergoes one of those surgeries to talk to Pollux. However, Castor Troy somehow regains consciousness and now wants revenge on Archer for taking his face. Not only is Troy ruining Archer's mission, but his personal life as well. Archer must stop Troy again. This time, it's personal."
201,Hoodlum (1997) ,"https://m.media-amazon.com/images/M/MV5BMmExY2QyMDYtZjc1NC00YzRmLWJlYzUtODY1MzA2OTliNmE1XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",6.3,R,2h 10min," Gangster
      ",Bill Duke,"Laurence Fishburne,Tim Roth,Vanessa Williams",," Crime, Drama","    The film focuses on the war of two gangs in 1930s Harlem for the control of illegal gaming - one headed by black strategic godfather Bumpy Johnson and another by white ruthless hothead Dutch Schultz. Negotiations proposed by white syndicate boss Lucky Luciano never get under way, blood flows and Johnson gets jailed. When Johnson is paroled, he gets the work of enforcer for mighty Stephanie ""The Queen"" St. Clair. She is also jailed for racketeering and when she leaves she makes him promise ""no violence""."
202,Air Force One (1997) ,"https://m.media-amazon.com/images/M/MV5BYTk5NWE2ZjAtZmRmOS00ZGYzLWI5ZmUtMDcwODI0YWY0MTRlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX182_CR0,0,182,268_AL_.jpg",6.5,R,2h 4min," 25 July 1997 (USA)
    ",Wolfgang Petersen,"Harrison Ford,Gary Oldman,Glenn Close",," Action, Drama, Thriller","    The President of the USA goes to Moscow and gives a stirring speech outlining the USA's new ""Zero-tolerance"" policy with respect to terrorism. On the flight home, terrorists take over Air Force One (the President's official plane) and take the passengers (including his wife and daughter) hostage. The terrorists plan to execute one hostage every half-hour unless/until their demands are met. However, the President is a former Medal of Honor winner, so the terrorists may be in for a surprise..."
203,In & Out (1997) ,"https://m.media-amazon.com/images/M/MV5BNDZkMjVhZmItMmIyNC00OWYyLWFmZWQtMzIzZWZhY2QyMjZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.4,PG-13,1h 30min," ¿Es o no es?
      ",Frank Oz,"Kevin Kline,Joan Cusack,Tom Selleck",," Comedy, Romance","    All of Greenleaf, Indiana is watching this year's telecast of the Oscars as Hollywood heartthrob and local boy made good Cameron Drake has been nominated for his first ever Best Actor Oscar for his latest movie role as a gay soldier. Cameron's high school English teacher Howard Brackett is overjoyed when Cameron wins the award and mentions Howard's contribution in his acting life. That joy turns to horror when Cameron mentions to the worldwide audience that Howard is gay, especially horrific to Howard as he is engaged to fellow teacher Emily Montgomery, a woman with self-esteem issues as she had battled weight issues most of her life before she lost seventy-five pounds for the wedding. Howard's life is totally disrupted as Hollywood media descends on Greenleaf in order to get Howard's story. The rest of Greenleaf also openly wonders if Howard is indeed gay, as he exhibits many stereotypical gay tendencies, such as being neat, and loving music, dancing, poetry and Barbra Streisand. His..."
204,L.A. Confidential (1997) ,"https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR0,0,182,268_AL_.jpg",8.2,R,2h 18min," 19 September 1997 (USA)
    ",Curtis Hanson,"Kevin Spacey,Russell Crowe,Guy Pearce","James Ellroy,Brian Helgeland"," Crime, Drama, Mystery, Thriller","    1950's Los Angeles is the seedy backdrop for this intricate noir-ish tale of police corruption and Hollywood sleaze. Three very different cops are all after the truth, each in their own style: Ed Exley, the golden boy of the police force, willing to do almost anything to get ahead, except sell out; Bud White, ready to break the rules to seek justice, but barely able to keep his raging violence under control; and Jack Vincennes, always looking for celebrity and a quick buck until his conscience drives him to join Exley and White down the one-way path to find the truth behind the dark world of L.A. crime."
205,Ulee's Gold (1997) ,"https://m.media-amazon.com/images/M/MV5BMjE4NjY3NzA0OF5BMl5BanBnXkFtZTcwMDQ3Mjg3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",7,R,1h 53min," El oro de Ulises
      ",Victor Nunez,"Peter Fonda,Patricia Richardson,Christine Dunford",, Drama,"    Ulee is called one day by his incarcerated son, Jimmy, asking for a favor. Jimmy will repay his debts if they save his wife, Helen, from hoodlums. Ulee must now risk his and his family's lives to save Helen."
206,Fly Away Home (1996) ,"https://m.media-amazon.com/images/M/MV5BMTA0OTE5MDQ0NTBeQTJeQWpwZ15BbWU4MDI5OTc3NTMx._V1_UX182_CR0,0,182,268_AL_.jpg",6.8,PG,1h 47min," Father Goose
      ",Carroll Ballard,"Jeff Daniels,Anna Paquin,Dana Delany","Bill Lishman,Robert Rodat"," Adventure, Drama, Family","    Amy is only 13 years old when her mother is killed in an auto wreck in New Zealand. She goes to Canada to live with her father, an eccentric inventor whom she barely knows. Amy is miserable in her new life...that is until she discovers a nest of goose eggs that were abandoned when developers began tearing up a local forest. The eggs hatch and Amy becomes ""Mama Goose"". The young birds must fly south for the winter, but who will lead them there? With a pair of ultralight airplanes, Amy, her dad and their friends must find a way to do it."
207,The Ice Storm (1997) ,"https://m.media-amazon.com/images/M/MV5BNTQ1NzI1MzgtYWM3ZC00YjdhLWE1ODAtMmU0YzQzYjY3MjNiXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UX182_CR0,0,182,268_AL_.jpg",7.4,R,1h 52min," 26 November 1997 (USA)
    ",Ang Lee,"Kevin Kline,Joan Allen,Sigourney Weaver",Rick Moody, Drama,"    During the 1973 Thanksgiving weekend, the Hoods are - relationship-wise, skidding out-of-control, isolated from each other; Benjamin reels from drink-to-drink, His wife, Elena's losing patience with Ben's incessant lies. Home for the holidays, their son, Paul, heads into Manhattan,in search of a rich girl from his prep school.Wendy, the teenage daughter, roams the neighborhood, exploring the liquor and lingerie of her friends' parents, looking for something - anything - new. Then, an ice storm hits, and their problems seem inconsequential, and nothing will ever be the same."
208,Mrs Brown (1997) ,"https://m.media-amazon.com/images/M/MV5BNDEyOGMxNjgtOGYzMi00NWUxLTg2NjgtOGQxNDBiYTFlYjI4XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",7.2,PG,1h 41min," 5 September 1997 (UK)
    ",John Madden,"Judi Dench,Billy Connolly,Geoffrey Palmer",," Biography, Drama, History, Romance","    Queen Victoria is deeply depressed after the death of her husband, disappearing from public. Her servant Brown, who adores her, through caress and admiration brings her back to life, but that relationship creates scandalous situation and is likely to lead to monarchy crisis."
209,The Devil's Advocate (1997) ,"https://m.media-amazon.com/images/M/MV5BM2M2MDJhMDgtMmJkYy00MTgzLTkyZTktODM5NzE1MWUyNDA4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY268_CR3,0,182,268_AL_.jpg",7.5,R,2h 24min," 17 October 1997 (USA)
    ",Taylor Hackford,"Keanu Reeves,Al Pacino,Charlize Theron","Andrew Neiderman,Jonathan Lemkin"," Drama, Mystery, Thriller","    Kevin Lomax, a ruthless young Florida attorney that never lost a case, is recruited by the most powerful law firm in the world. In spite of his mother's disagreement, which compares New York City to Babylon, he accepts the offer and the money that comes along. But soon, his wife starts feeling homesick as she witnesses devilish apparitions. However, Kevin is sinking in his new cases and pays less and less attention to his wife. His boss and mentor, John Milton, seems to always know how to overcome every problem and that just freaks Kevin right off."
210,FairyTale: A True Story (1997) ,"https://m.media-amazon.com/images/M/MV5BN2Y5NWUwZDgtOWNjNi00NzZlLWIzNWYtM2U2ZjMyM2MzODBkXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UY268_CR0,0,182,268_AL_.jpg",6.4,PG,1h 39min," Istinita vilinska prica
      ",Charles Sturridge,"Paul McGann,Florence Hoath,Elizabeth Earl","Albert Ash,Tom McLoughlin"," Drama, Family, Fantasy, Mystery","    Based on factual accounts, this is the story of two young girls that, somehow, have the ability to take pictures of winged beings... which certainly causes quite a stir throughout England during the time of the first World War. Everyone, except the girls who think it's quite normal, are excited about this ""photographic proof"" that fairies exist... even the great Sir Arthur Conan Doyle and Harry Houdini pay the girls a visit."
211,Deceiver (1997) ,"https://m.media-amazon.com/images/M/MV5BMTgyMDk1NjQyM15BMl5BanBnXkFtZTgwODYzMzgwMzE@._V1_UX182_CR0,0,182,268_AL_.jpg",6.7,R,1h 46min," 30 January 1998 (USA)
    ","Jonas Pate,Josh Pate","Tim Roth,Chris Penn,Michael Rooker",Jonas Pate," Crime, Drama, Mystery, Thriller","    Textile company heir Wayland is accused of murder of a prostitute named Elizabeth, whose body was found cut in two in the park. The murder is investigated by tough detective Kennesaw and his less experienced partner Braxton. Wayland is a heavy drinker and compulsive liar, he is prone to memory losses and periods of heavy violence. He is rich enough to access necessary information, and he gets the interrogators' own dark secrets - Kennesaw is angry about affairs his wife had and had let off steam with Elizabeth, and Braxton has gambling debts with Mook, who is demanding payment."
212,Midnight in the Garden of Good and Evil (1997) ,"https://m.media-amazon.com/images/M/MV5BNDdlOGM3ODItNDUzZi00MTRlLTliMzUtYjE3ZGY0NzhkNDlkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,R,2h 35min," Medianoche en el jardín del bien y del mal
      ",Clint Eastwood,"John Cusack,Kevin Spacey,Jack Thompson",John Berendt," Crime, Drama, Mystery, Thriller","    This panoramic tale of Savannah, Georgia's eccentricities focuses on a murder and the subsequent trial of James Arthur Williams (Kevin Spacey): self made man, art collector, antiques dealer, bon vivant, and semi-closeted homosexual. John Kelso (John Cusack) a magazine reporter, finds himself in Savannah amidst the beautiful architecture and odd doings to write a feature on one of William's famous Christmas parties. He is intrigued by Williams from the start, but his curiosity is piqued when he meets Jim's violent, young and sexy lover, Billy Hanson (Jude Law). Later that night, Billy is dead, and Kelso stays on to cover the murder trial. Along the way, he encounters the irrepressible Chablis Deveau (Lady Chablis), a drag queen commedienne, Sonny Seiler (Jack Thompson), lawyer to Williams, whose famous dog, Uga, is the official mascot of the Georgia Bulldogs, an odd man who keeps flies attached to mini leashes on his lapels and threatens daily to poison the water supply, the Married ..."
213,Titanic (1997) ,"https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg",7.8,PG-13,3h 14min," 14 August 1998 (Pakistan)
    ",James Cameron,"Leonardo DiCaprio,Kate Winslet,Billy Zane",," Drama, Romance","    84 years later, a 100 year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning."
214,3 Ninjas: High Noon at Mega Mountain (1998) ,"https://m.media-amazon.com/images/M/MV5BY2IzOTc2OWEtYTEwYy00ZTk5LWIxZWYtNDc3ZjM4MTZkODk4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2.9,PG,1h 33min," 3 Ninjaa pistää tuulemaan
      ",Sean McNamara,"Loni Anderson,Hulk Hogan,Jim Varney",Sean McNamara," Action, Adventure, Comedy, Family","    Three young boys, Rocky, Colt and Tum Tum together with their neighbor girl, computer whiz Amanda are visiting Mega Mountain amusement park when it is invaded by an army of ninjas led by evil Medusa, who wants to take over the park and hold the owners for ransom. Kids and retired TV star Dave Dragon, who made his farewell appearance at the park at the time the ninjas appeared, have to break Medusa's vicious plans."
215,Apt Pupil (1998) ,"https://m.media-amazon.com/images/M/MV5BMWEzMzkyZTQtNWRiZS00ODgzLTg4ZDgtOTIzZDc5ZTA2YjgzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.7,R,1h 51min," El aprendiz
      ",Bryan Singer,"Ian McKellen,Brad Renfro,Joshua Jackson",Stephen King," Crime, Drama, Thriller","    Neighborhood boy Todd Bowden (Brad Renfro) discovers that an old man living on his block named Arthur Denker (Sir Ian Mackellan) is a Nazi war criminal. Bowden confronts Denker and offers him a deal: Bowden will not go to the authorities if Denker tells him stories of the concentration camps in World War II. Denker agrees and Bowden starts visiting him regularly. The more stories Bowden hears, the more it affects his personality."
216,As Good as It Gets (1997) ,"https://m.media-amazon.com/images/M/MV5BNWMxZTgzMWEtMTU0Zi00NDc5LWFkZjctMzUxNDIyNzZiMmNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.7,PG-13,2h 19min," Mejor... imposible
      ",James L. Brooks,"Jack Nicholson,Helen Hunt,Greg Kinnear","Mark Andrus,Mark Andrus"," Comedy, Drama, Romance","    New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast."
217,In the Name of the Father (1993) ,"https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",8.1,R,2h 13min," En el nombre del padre
      ",Jim Sheridan,"Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie","Gerry Conlon,Terry George"," Biography, Drama","    Young Belfastian Gerry Conlon admits that he was in London at the time of the incident. He also admits that he is not a model citizen, having committed a petty robbery while in London. He does however profess his innocence when it comes to the bombing of the Guildford Pub in London in 1974, the event which killed several people inside. A self-professed non-political person, he and his three co-accused, dubbed the Guildford Four, are thought to be provisional members of the IRA. Their self-professed innocence is despite each having signed a statement of guilt which they claim were signed under duress. Their case includes having provable alibis for the time frame of the bombing. And eventually, Joe McAndrew, a known IRA member, admits to the bombing. Dubbed the Maguire Seven, seven others, primarily members of Gerry's extended family including his father Giuseppe, are accused of being accessories to the bombing. Following on the work initiated by Giuseppe, Gerry works on a campaign to ..."
218,Schindler's List (1993) ,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",8.9,R,3h 15min," 4 February 1994 (USA)
    ",Steven Spielberg,"Liam Neeson,Ralph Fiennes,Ben Kingsley",Thomas Keneally," Biography, Drama, History","    Oskar Schindler is a vainglorious and greedy German businessman who becomes an unlikely humanitarian amid the barbaric German Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us."
